word,sentence,position,label
4,0,0,amount
medium,0,1,unit
chicken,0,2,food
breast,0,3,food
halves,0,4,0
 skinless ,0,5,food
boneless ,0,6,food
1,0,7,0
pound ,0,8,0
salt,1,0,0
and,1,1,0
pepper,1,2,0
1,2,0,amount
cup,2,1,unit
lemon,2,2,food
juice,2,3,food
2,3,0,amount
tablespoons,3,1,unit
lime,3,2,food
juice,3,3,food
2,4,0,amount
tablespoons,4,1,unit
orange,4,2,food
juice,4,3,food
1,5,0,amount
tablespoon,5,1,unit
cooking,5,2,food
oil,5,3,food
1,6,0,amount
teaspoon,6,1,unit
sugar,6,2,food
1,7,0,amount
teaspoon,7,1,unit
dried,7,2,food
oregano ,7,3,food
crushed,7,4,0
2,20,0,amount
lbs,20,1,unit
halibut,20,2,food
steaks ,20,3,food
4-Mar,20,4,0
2,21,0,amount
tablespoons,21,1,unit
butter,21,2,food
1,22,0,amount
medium,22,1,unit
onion ,22,2,food
finely,22,3,0
chopped,22,4,0
4,23,0,amount
garlic,23,1,food
cloves ,23,2,unit
minced,23,3,0
1,24,0,amount
cup,24,1,unit
fresh,24,2,0
parsley ,24,3,food
chopped,24,4,0
1,25,0,amount
teaspoon,25,1,unit
orange,25,2,food
rind ,25,3,food
grated,25,4,0
1,26,0,amount
teaspoon,26,1,unit
salt,26,2,food
1,27,0,amount
teaspoon,27,1,unit
black,27,2,0
pepper,27,3,food
1,28,0,amount
cup,28,1,unit
frozen,28,2,food
concentrated,28,3,food
orange,28,4,food
juice,28,5,food
2,29,0,amount
tablespoons,29,1,unit
fresh,29,2,0
lemon,29,3,food
juice,29,4,food
8,54,0,amount
cups,54,1,unit
plums ,54,2,food
pitted ,54,3,0
halved,54,4,0
3,54,5,0
lb/1.5,54,6,0
kg ,54,7,0
1,55,0,amount
cup,55,1,unit
onion ,55,2,food
chopped,55,3,0
1,56,0,amount
cup,56,1,unit
water,56,2,food
1,57,0,amount
teaspoon,57,1,unit
gingerroot ,57,2,food
minced,57,3,0
1,58,0,amount
clove,58,1,unit
garlic ,58,2,food
minced,58,3,0
3,59,0,amount
cup,59,1,unit
granulated,59,2,food
sugar,59,3,food
1,60,0,amount
cup,60,1,unit
rice,60,2,food
vinegar,60,3,food
or,60,4,0
1,60,5,amount
cup,60,6,unit
cider,60,7,food
vinegar,60,8,food
1,61,0,amount
teaspoon,61,1,unit
coriander ,61,2,food
ground,61,3,food
1,62,0,amount
teaspoon,62,1,unit
salt,62,2,food
1,63,0,amount
teaspoon,63,1,unit
cinnamon,63,2,food
1,64,0,amount
teaspoon,64,1,unit
cayenne,64,2,food
pepper,64,3,food
1,65,0,amount
teaspoon,65,1,unit
clove,65,2,food
1,73,0,amount
lb,73,1,unit
lean,73,2,0
pork ,73,3,food
ground,73,4,food
1,74,0,amount
lb,74,1,unit
shrimp ,74,2,food
minced,74,3,0
1,75,0,amount
cup,75,1,unit
water,75,2,food
chestnut ,75,3,food
minced,75,4,0
1,76,0,amount
teaspoon,76,1,unit
fresh,76,2,food
gingerroot ,76,3,food
minced,76,4,0
1,77,0,amount
whole,77,1,unit
green,77,2,food
onion ,77,3,food
minced,77,4,0
3,78,0,amount
tablespoons,78,1,unit
soy,78,2,food
sauce ,78,3,food
total,78,4,0
1,79,0,amount
tablespoon,79,1,unit
white,79,2,food
wine,79,3,food
1,80,0,amount
teaspoon,80,1,unit
salt,80,2,food
1,81,0,amount
teaspoon,81,1,unit
sugar ,81,2,food
total,81,3,0
3,82,0,amount
tablespoons,82,1,unit
cornstarch ,82,2,food
total,82,3,0
1,83,0,amount
egg ,83,1,food
lightly,83,2,0
beaten,83,3,0
2,84,0,amount
tablespoons,84,1,unit
oil,84,2,food
1,85,1,amount
cups,85,2,unit
chicken,85,3,food
broth,85,4,food
1,86,0,amount
napa,86,1,food
cabbage,86,2,food
1,87,0,amount
teaspoon,87,1,unit
sesame,87,2,food
oil,87,3,food
250,103,0,amount
g,103,1,unit
lean,103,2,0
pork ,103,3,food
cut,103,4,0
into,103,5,0
bite-size,103,6,0
pieces,103,7,0
8,103,8,amount
oz ,103,9,unit
2,104,0,amount
onions ,104,1,food
sliced,104,2,0
into,104,3,0
crescents,104,4,0
2,105,0,amount
potatoes ,105,1,food
cubed,105,2,0
small,105,3,0
1,106,0,amount
carrot ,106,1,food
cubed,106,2,0
small,106,3,0
1,107,0,amount
large,107,1,0
apple ,107,2,food
minced,107,3,0
2,108,0,amount
tablespoons,108,1,unit
curry,108,2,food
powder,108,3,food
2,109,0,amount
tablespoons,109,1,unit
flour,109,2,food
3,110,0,amount
cloves,110,1,unit
garlic ,110,2,food
minced,110,3,0
4,111,0,amount
cups,111,1,unit
stock,111,2,food
or,111,3,0
4,111,4,amount
cups,111,5,unit
water,111,6,food
1,111,7,amount
litre ,111,8,unit
4,112,0,amount
tablespoons,112,1,unit
butter,112,2,food
2,113,0,amount
tablespoons,113,1,unit
frying,113,2,0
oil,113,3,food
salt,114,0,food
and,114,1,0
pepper,114,2,food
310,115,0,amount
g,115,1,unit
rice,115,2,food
15,116,0,amount
g,116,1,unit
cinnamon,116,2,food
1,124,1,amount
cups,124,2,unit
all-purpose,124,3,0
flour,124,4,food
5,125,0,amount
teaspoons,125,1,unit
baking,125,2,food
powder,125,3,food
2,126,0,amount
tablespoons,126,1,unit
sugar,126,2,food
1,127,0,amount
teaspoon,127,1,unit
salt,127,2,food
4,128,0,amount
ounces,128,1,unit
butter ,128,2,food
cold,128,3,0
3,129,0,amount
eggs ,129,1,food
divided,129,2,0
2,130,0,amount
teaspoons,130,1,unit
almond,130,2,food
extract,130,3,food
3,131,0,amount
cup,131,1,unit
cream,131,2,food
1,132,0,amount
cup,132,1,unit
chocolate,132,2,food
chips,132,3,food
1,133,0,amount
cup,133,1,unit
almonds ,133,2,food
sliced ,133,3,0
toasted,133,4,0
1,146,0,amount
cup,146,1,unit
