word,sentence,position,label
4,0,0,quantity
medium,0,1,unit
chicken,0,2,food
breast,0,3,food
halves,0,4,aaaa
 skinless ,0,5,food
boneless ,0,6,food
1,0,7,aaaa
pound ,0,8,aaaa
salt,1,0,aaaa
and,1,1,aaaa
pepper,1,2,aaaa
1,2,0,quantity
cup,2,1,unit
lemon,2,2,food
juice,2,3,food
2,3,0,quantity
tablespoons,3,1,unit
lime,3,2,food
juice,3,3,food
2,4,0,quantity
tablespoons,4,1,unit
orange,4,2,food
juice,4,3,food
1,5,0,quantity
tablespoon,5,1,unit
cooking,5,2,food
oil,5,3,food
1,6,0,quantity
teaspoon,6,1,unit
sugar,6,2,food
1,7,0,quantity
teaspoon,7,1,unit
dried,7,2,food
oregano ,7,3,food
crushed,7,4,aaaa
2,20,0,quantity
lbs,20,1,unit
halibut,20,2,food
steaks ,20,3,food
4-Mar,20,4,aaaa
2,21,0,quantity
tablespoons,21,1,unit
butter,21,2,food
1,22,0,quantity
medium,22,1,unit
onion ,22,2,food
finely,22,3,aaaa
chopped,22,4,aaaa
4,23,0,quantity
garlic,23,1,food
cloves ,23,2,unit
minced,23,3,aaaa
1,24,0,quantity
cup,24,1,unit
fresh,24,2,aaaa
parsley ,24,3,food
chopped,24,4,aaaa
1,25,0,quantity
teaspoon,25,1,unit
orange,25,2,food
rind ,25,3,food
grated,25,4,aaaa
1,26,0,quantity
teaspoon,26,1,unit
salt,26,2,food
1,27,0,quantity
teaspoon,27,1,unit
black,27,2,aaaa
pepper,27,3,food
1,28,0,quantity
cup,28,1,unit
frozen,28,2,food
concentrated,28,3,food
orange,28,4,food
juice,28,5,food
2,29,0,quantity
tablespoons,29,1,unit
fresh,29,2,aaaa
lemon,29,3,food
juice,29,4,food
8,54,0,quantity
cups,54,1,unit
plums ,54,2,food
pitted ,54,3,aaaa
halved,54,4,aaaa
3,54,5,aaaa
lb/1.5,54,6,aaaa
kg ,54,7,aaaa
1,55,0,quantity
cup,55,1,unit
onion ,55,2,food
chopped,55,3,aaaa
1,56,0,quantity
cup,56,1,unit
water,56,2,food
1,57,0,quantity
teaspoon,57,1,unit
gingerroot ,57,2,food
minced,57,3,aaaa
1,58,0,quantity
clove,58,1,unit
garlic ,58,2,food
minced,58,3,aaaa
3,59,0,quantity
cup,59,1,unit
granulated,59,2,food
sugar,59,3,food
1,60,0,quantity
cup,60,1,unit
rice,60,2,food
vinegar,60,3,food
or,60,4,aaaa
1,60,5,quantity
cup,60,6,unit
cider,60,7,food
vinegar,60,8,food
1,61,0,quantity
teaspoon,61,1,unit
coriander ,61,2,food
ground,61,3,food
1,62,0,quantity
teaspoon,62,1,unit
salt,62,2,food
1,63,0,quantity
teaspoon,63,1,unit
cinnamon,63,2,food
1,64,0,quantity
teaspoon,64,1,unit
cayenne,64,2,food
pepper,64,3,food
1,65,0,quantity
teaspoon,65,1,unit
clove,65,2,food
1,73,0,quantity
lb,73,1,unit
lean,73,2,aaaa
pork ,73,3,food
ground,73,4,food
1,74,0,quantity
lb,74,1,unit
shrimp ,74,2,food
minced,74,3,aaaa
1,75,0,quantity
cup,75,1,unit
water,75,2,food
chestnut ,75,3,food
minced,75,4,aaaa
1,76,0,quantity
teaspoon,76,1,unit
fresh,76,2,food
gingerroot ,76,3,food
minced,76,4,aaaa
1,77,0,quantity
whole,77,1,unit
green,77,2,food
onion ,77,3,food
minced,77,4,aaaa
3,78,0,quantity
tablespoons,78,1,unit
soy,78,2,food
sauce ,78,3,food
total,78,4,aaaa
1,79,0,quantity
tablespoon,79,1,unit
white,79,2,food
wine,79,3,food
1,80,0,quantity
teaspoon,80,1,unit
salt,80,2,food
1,81,0,quantity
teaspoon,81,1,unit
sugar ,81,2,food
total,81,3,aaaa
3,82,0,quantity
tablespoons,82,1,unit
cornstarch ,82,2,food
total,82,3,aaaa
1,83,0,quantity
egg ,83,1,food
lightly,83,2,aaaa
beaten,83,3,aaaa
2,84,0,quantity
tablespoons,84,1,unit
oil,84,2,food
1,85,1,quantity
cups,85,2,unit
chicken,85,3,food
broth,85,4,food
1,86,0,quantity
napa,86,1,food
cabbage,86,2,food
1,87,0,quantity
teaspoon,87,1,unit
sesame,87,2,food
oil,87,3,food
250,103,0,quantity
g,103,1,unit
lean,103,2,aaaa
pork ,103,3,food
cut,103,4,aaaa
into,103,5,aaaa
bite-size,103,6,aaaa
pieces,103,7,aaaa
8,103,8,quantity
oz ,103,9,unit
2,104,0,quantity
onions ,104,1,food
sliced,104,2,aaaa
into,104,3,aaaa
crescents,104,4,aaaa
2,105,0,quantity
potatoes ,105,1,food
cubed,105,2,aaaa
small,105,3,aaaa
1,106,0,quantity
carrot ,106,1,food
cubed,106,2,aaaa
small,106,3,aaaa
1,107,0,quantity
large,107,1,aaaa
apple ,107,2,food
minced,107,3,aaaa
2,108,0,quantity
tablespoons,108,1,unit
curry,108,2,food
powder,108,3,food
2,109,0,quantity
tablespoons,109,1,unit
flour,109,2,food
3,110,0,quantity
cloves,110,1,unit
garlic ,110,2,food
minced,110,3,aaaa
4,111,0,quantity
cups,111,1,unit
stock,111,2,food
or,111,3,aaaa
4,111,4,quantity
cups,111,5,unit
water,111,6,food
1,111,7,quantity
litre ,111,8,unit
4,112,0,quantity
tablespoons,112,1,unit
butter,112,2,food
2,113,0,quantity
tablespoons,113,1,unit
frying,113,2,aaaa
oil,113,3,food
salt,114,0,food
and,114,1,aaaa
pepper,114,2,food
310,115,0,quantity
g,115,1,unit
rice,115,2,food
15,116,0,quantity
g,116,1,unit
cinnamon,116,2,food
1,124,1,quantity
cups,124,2,unit
all-purpose,124,3,aaaa
flour,124,4,food
5,125,0,quantity
teaspoons,125,1,unit
baking,125,2,food
powder,125,3,food
2,126,0,quantity
tablespoons,126,1,unit
sugar,126,2,food
1,127,0,quantity
teaspoon,127,1,unit
salt,127,2,food
4,128,0,quantity
ounces,128,1,unit
butter ,128,2,food
cold,128,3,aaaa
3,129,0,quantity
eggs ,129,1,food
divided,129,2,aaaa
2,130,0,quantity
teaspoons,130,1,unit
almond,130,2,food
extract,130,3,food
3,131,0,quantity
cup,131,1,unit
cream,131,2,food
1,132,0,quantity
cup,132,1,unit
chocolate,132,2,food
chips,132,3,food
1,133,0,quantity
cup,133,1,unit
almonds ,133,2,food
sliced ,133,3,aaaa
toasted,133,4,aaaa
1,146,0,quantity
cup,146,1,unit
red-hot,146,2,food
candies,146,3,food
1,147,0,quantity
cup,147,1,unit
boiling,147,2,aaaa
water,147,3,food
3,148,1,quantity
ounce ,148,2,unit
package,148,3,aaaa
lemon,148,4,food
gelatin,148,5,food
1,149,0,quantity
cup,149,1,unit
applesauce,149,2,food
8,150,1,quantity
ounce ,150,2,unit
package,150,3,aaaa
cream,150,4,food
cheese ,150,5,food
softened,150,6,aaaa
1,151,0,quantity
cup,151,1,unit
mayonnaise,151,2,food
or,151,3,aaaa
1,151,4,quantity
cup,151,5,unit
salad,151,6,food
dressing,151,7,food
1,152,0,quantity
cup,152,1,unit
pecans ,152,2,food
chopped,152,3,aaaa
1,153,0,quantity
cup,153,1,unit
celery ,153,2,food
chopped,153,3,aaaa
5,160,0,quantity
tomatoes ,160,1,unit
divided,160,2,aaaa
9,161,0,quantity
inches,161,1,unit
pastry,161,2,food
shells,161,3,food
2,162,0,quantity
cups,162,1,unit
cheddar,162,2,food
cheese,162,3,food
cubes,162,4,aaaa
1,163,0,quantity
cup,163,1,unit
italian,163,2,aaaa
style,163,3,aaaa
breadcrumbs,163,4,food
2,164,0,quantity
tablespoons,164,1,unit
all-purpose,164,2,food
flour,164,3,food
1,165,0,quantity
tablespoon,165,1,unit
sugar,165,2,food
2,166,0,quantity
teaspoons,166,1,unit
salt,166,2,food
1,167,0,quantity
cup,167,1,unit
cheddar,167,2,food
cheese ,167,3,food
in,167,4,aaaa
thin,167,5,aaaa
strips,167,6,aaaa
6,180,0,quantity
slices,180,1,unit
bread ,180,2,food
toasted,180,3,aaaa
50,181,0,quantity
g,181,1,unit
butter,181,2,food
1,182,0,quantity
cup,182,1,unit
chocolate,182,2,food
chips,182,3,food
2,183,0,quantity
eggs,183,1,food
2,184,0,quantity
cups,184,1,unit
milk,184,2,food
1,185,0,quantity
cup,185,1,unit
sugar,185,2,food
1,186,0,quantity
cup,186,1,unit
sherry,186,2,food
wine,186,3,food
1,187,0,quantity
teaspoon,187,1,unit
vanilla,187,2,food
46,196,1,quantity
ounce ,196,2,unit
can,196,3,aaaa
hi-c,196,4,food
hula,196,5,food
punch ,196,6,food
thoroughly,196,7,aaaa
chilled,196,8,aaaa
2,197,0,quantity
pints,197,1,unit
vanilla,197,2,food
ice,197,3,food
cream ,197,4,food
softened,197,5,aaaa
2,198,0,quantity
cups,198,1,unit
sprite ,198,2,food
chilled,198,3,aaaa
2,204,0,quantity
cups,204,1,unit
cranberries ,204,2,food
chopped,204,3,aaaa
3,205,0,quantity
cups,205,1,unit
miniature,205,2,food
marshmallows,205,3,food
3,206,0,quantity
cup,206,1,unit
sugar,206,2,food
2,207,0,quantity
cups,207,1,unit
apples ,207,2,food
chopped,207,3,aaaa
and,207,4,aaaa
unpeeled,207,5,food
1,208,0,quantity
cup,208,1,unit
seedless,208,2,food
grapes,208,3,food
1,209,0,quantity
cup,209,1,unit
walnuts ,209,2,food
chopped,209,3,aaaa
 i,209,4,aaaa
used,209,5,aaaa
pecans ,209,6,aaaa
1,210,0,quantity
teaspoon,210,1,unit
salt,210,2,food
1,211,0,quantity
cup,211,1,unit
whipping,211,2,food
cream ,211,3,food
whipped,211,4,aaaa
3,217,0,quantity
unsweetened,217,1,food
chocolate,217,2,food
squares ,217,3,unit
chopped,217,4,aaaa
2,218,0,quantity
cups,218,1,unit
sugar,218,2,food
1,219,0,quantity
cup,219,1,unit
brown,219,2,food
sugar,219,3,food
1,220,0,quantity
teaspoon,220,1,unit
salt,220,2,food
1,221,0,quantity
cup,221,1,unit
corn,221,2,food
syrup,221,3,food
1,222,0,quantity
cup,222,1,unit
heavy,222,2,food
cream,222,3,food
1,223,0,quantity
tablespoon,223,1,unit
vanilla,223,2,food
1,224,0,quantity
cup,224,1,unit
butter,224,2,food
2,225,0,quantity
cups,225,1,unit
nuts ,225,2,food
chopped,225,3,aaaa
1,236,0,quantity
cup,236,1,unit
brown,236,2,food
sugar ,236,3,food
packed,236,4,aaaa
1,237,0,quantity
cup,237,1,unit
sugar,237,2,food
1,238,0,quantity
cup,238,1,unit
canola,238,2,food
oil,238,3,food
2,239,0,quantity
teaspoons,239,1,unit
vanilla,239,2,food
3,240,0,quantity
egg,240,1,food
whites,240,2,food
1,241,0,quantity
cup,241,1,unit
water,241,2,food
2,242,0,aaaa
1,242,1,quantity
cups,242,2,unit
flour,242,3,food
1,243,0,quantity
cup,243,1,unit
nonfat,243,2,food
dry,243,3,food
milk,243,4,food
powder,243,5,food
1,244,0,quantity
teaspoon,244,1,unit
baking,244,2,food
soda,244,3,food
3,245,0,quantity
tablespoons,245,1,unit
unsweetened,245,2,food
cocoa,245,3,food
powder,245,4,food
4,246,0,quantity
ounces,246,1,unit
semi-sweet,246,2,food
chocolate,246,3,food
chips,246,4,food
1,247,0,aaaa
1,247,1,quantity
cups,247,2,unit
raisins,247,3,food
1,248,0,quantity
cup,248,1,unit
walnuts,248,2,food
vegetable,261,0,food
oil,261,1,food
cooking,261,2,food
spray,261,3,food
1,262,0,aaaa
18,262,1,quantity
ounce ,262,2,unit
package,262,3,aaaa
chocolate,262,4,food
cake,262,5,food
mix,262,6,food
1,263,0,quantity
cup,263,1,unit
water,263,2,food
3,264,0,quantity
eggs,264,1,food
1,265,0,quantity
cup,265,1,unit
semisweet,265,2,food
chocolate,265,3,food
morsel,265,4,food
1,266,0,quantity
cup,266,1,unit
skim,266,2,food
milk,266,3,food
3,267,0,quantity
tablespoons,267,1,unit
unsweetened,267,2,food
cocoa,267,3,food
2,268,0,quantity
cups,268,1,unit
powdered,268,2,food
sugar ,268,3,food
sifted,268,4,aaaa
2,269,0,aaaa
1,269,1,quantity
teaspoons,269,2,unit
vanilla,269,3,food
extract,269,4,food
2,270,0,aaaa
1,270,1,quantity
tablespoons,270,2,unit
powdered,270,3,food
sugar,270,4,food
1,286,0,quantity
cup,286,1,unit
shortening,286,2,food
1,287,0,quantity
cup,287,1,unit
sugar,287,2,food
2,288,0,quantity
eggs,288,1,food
1,289,0,quantity
teaspoon,289,1,unit
vanilla,289,2,food
1,290,0,quantity
teaspoon,290,1,unit
baking,290,2,food
soda,290,3,food
1,291,0,quantity
cup,291,1,unit
baking,291,2,food
cocoa,291,3,food
1,292,0,aaaa
1,292,1,quantity
cups,292,2,unit
zucchini ,292,3,food
pureed,292,4,aaaa
or,292,5,aaaa
blended,292,6,aaaa
3,293,0,quantity
tablespoons,293,1,unit
milk,293,2,food
2,294,0,quantity
cups,294,1,unit
flour,294,2,food
1,295,0,quantity
cup,295,1,unit
walnuts ,295,2,food
chopped,295,3,aaaa
 optional ,295,4,aaaa
2,302,0,quantity
ounces,302,1,unit
semi-sweet,302,2,food
chocolate,302,3,food
chips,302,4,food
1,303,0,quantity
cup,303,1,unit
unsalted,303,2,food
cashews,303,3,food
or,303,4,aaaa
1,303,5,quantity
cup,303,6,unit
almonds ,303,7,food
toasted,303,8,aaaa
blanched,303,9,aaaa
1,304,0,quantity
cup,304,1,unit
butter ,304,2,food
cut,304,3,aaaa
up,304,4,aaaa
1,312,0,quantity
cup,312,1,unit
raisins,312,2,food
1,313,0,quantity
tablespoon,313,1,unit
brandy,313,2,food
2,314,0,quantity
cups,314,1,unit
cream,314,2,food
cheese ,314,3,food
softened,314,4,aaaa
1,315,0,quantity
cup,315,1,unit
whipping,315,2,food
cream,315,3,food
1,316,0,quantity
teaspoon,316,1,unit
vanilla,316,2,food
extract,316,3,food
1,317,0,quantity
cup,317,1,unit
dark,317,2,aaaa
brown,317,3,food
sugar,317,4,food
1,318,0,quantity
teaspoon,318,1,unit
cinnamon,318,2,food
1,319,0,quantity
cup,319,1,unit
miniature,319,2,food
chocolate,319,3,food
chip,319,4,food
1,330,0,aaaa
18,330,1,quantity
ounce ,330,2,unit
package,330,3,aaaa
refrigerated,330,4,food
chocolate,330,5,food
chip,330,6,food
cookie,330,7,food
dough,330,8,food
1,331,0,quantity
cup,331,1,unit
raspberry,331,2,food
preserves,331,3,food
1,332,0,quantity
cup,332,1,unit
m&m;' ,332,2,food
plain,332,3,aaaa
chocolate,332,4,aaaa
candy,332,5,aaaa
2,333,0,quantity
