phrase,is_ingredient
"4  medium  chicken breast halves (skinless, boneless, 1 pound)",1
  salt and pepper,1
1⁄4 cup  lemon juice,1
2  tablespoons  lime juice,1
2  tablespoons  orange juice,1
1  tablespoon  cooking oil,1
1  teaspoon  sugar,1
"1⁄2 teaspoon  dried oregano, crushed",1
citrus chicken,0
rinse chicken; pat dry.,0
sprinkle with salt and pepper.,0
place chicken in plastic bag set in shallow dish.,0
"for marinade, combine lemon, lime, and orange juices, oil,  sugar and oregano in small bowl.",0
pour over chicken; seal bag.,0
"marinate in  refrigerator 4 to 24 hours, turning occasionally.",0
"drain chicken, reserving marinade.",0
"grill chicken on rack of uncovered grill directly over medium coals  12 to 15 minutes or until tender and no longer pink inside, turning once and brushing  occasionally with marinade during first half of cooking.",0
"or, broil on unheated rack of broiler pan 4 to 5 inches from heat 12 to 15 minutes, turning once and  brushing occasionally with marinade during first half of cooking.",0
discard any remaining marinade.,0
"







                            
                                submit a correction
                            
                        





",0
"2  lbs  halibut steaks, 3/4",1
2  tablespoons  butter,1
"1  medium  onion, finely chopped",1
"4  garlic cloves, minced",1
"1⁄4 cup  fresh parsley, chopped",1
"1  teaspoon  orange rind, grated",1
1⁄2 teaspoon  salt,1
1⁄4 teaspoon  black pepper,1
1⁄2 cup  frozen concentrated orange juice,1
2  tablespoons  fresh lemon juice,1
citrus baked halibut,0
oven cooking:,0
rinse halibut in cold water and dry using paper toweling.,0
"arrange  halibut in a 9"" x 13"" oven-proof baking dish.",0
preheat oven to 400 degrees fahrenheit.,0
"in a frying pan, add butter, onion and garlic. saute until translucent.",0
"remove from heat; stir in parsley, orange rind, salt and pepper.",0
spread mixture over  halibut steaks.,0
"in a small bowl, mix together orange juice and lemon juice.",0
"sprinkle juice over steaks, but be careful not to wash away the onion/garlic  mixture.",0
"bake fish in preheated 400 degree fahrenheit oven for 20 to 22 minutes, turning over  at about 10 minutes of cooking time.",0
continue cooking until time expires or until fish flakes easily with a fork.,0
do not overcook fish.,0
spoon hot juices  over fish.,0
serve at once.,0
microwave cooking:,0
prepare and arrange fish and onion/garlic as above.,0
reduce orange juice by 2 tablespoons.,0
cover fish with a clear plastic wrap vented.,0
cook on high (full power) for 4 minutes.,0
turn fish over and cook for an additional 3 to 4 minutes on high (full power) or until fish flakes easily with  a fork.,0
spoon juices over fish and serve at once.,0
"if desired, serve with tartar sauce.",0
"







                            
                                submit a correction
                            
                        





",0
"8  cups  plums, pitted, halved (3 lb/1.5 kg)",1
"1  cup  onion, chopped",1
1  cup  water,1
"1  teaspoon  gingerroot, minced",1
"1  clove  garlic, minced",1
3⁄4 cup  granulated sugar,1
1⁄2 cup  rice vinegar or 1⁄2 cup  cider vinegar,1
"1  teaspoon  coriander, ground",1
1⁄2 teaspoon  salt,1
1⁄2 teaspoon  cinnamon,1
1⁄4 teaspoon  cayenne pepper,1
1⁄4 teaspoon  clove,1
chinese plum sauce,0
"in large heavy saucepan, bring plums, onions, water, ginger and garlic to boil over medium heat; cover, reduce heat to low and simmer, stirring occasionally, until plums and onions are very tender, about 30 minutes.",0
"press through food mill or sieve and return to clean pan; stir in sugar, vinegar, coriander, salt, cinnamon, pepper and cloves.",0
"bring to boil, stirring; reduce heat to low and simmer until mixture reaches consistency of applesauce, about 45 minutes.",0
fill and seal jars; process in boiling water bath for 30 minutes.,0
makes about 4 cups,0
"







                            
                                submit a correction
                            
                        





",0
"1  lb  lean pork, ground",1
